Collection,Subsistence,Sex,BicondylarBreadth,Index_FM
RJT,Agriculture,Female,48.26,912.586720075276
HTH,Agriculture,Female,48.01,652.01312936968
RJT,Agriculture,Male,49.5,1001.39852337465
RJT,Agriculture,Male,52.83,964.11331636368
RJT,Agriculture,Male,53.55,927.963323858088
HTH,Agriculture,Male,47.91,845.632390583624
RJT,Agriculture,Female,46.2,690.709775420089
RJT,Agriculture,Female,53.2,922.019744716761
HTH,Agriculture,Female,49.89,733.092687750403
RJT,Agriculture,Female,45.75,729.034613979945
HTH,Agriculture,Male,53.95,853.730552506598
RJT,Agriculture,Female,52.56,866.310510509184
RJT,Agriculture,Female,62.64,1077.15912977339
RJT,Agriculture,Male,58.23,1042.7385840236
HTH,Agriculture,Male,50.89,1011.81824372881
HTH,Agriculture,Male,50.01,889.203924494424
HTH,Agriculture,Male,52.84,831.115012391568
HTH,Agriculture,Male,53.92,1008.90834353342
RJT,Agriculture,Female,50,795.788195701033
RJT,Agriculture,Female,47.24,827.546555836172
RJT,Agriculture,Female,49.73,820.815222336958
HTH,Agriculture,Male,50.3,728.971860666689
RJT,Agriculture,Male,52.91,913.070603883745
RJT,Agriculture,Male,45.06,1019.56242669954
HTH,Agriculture,Female,50.56,780.550214694061
RJT,Agriculture,Female,53.46,993.532446608956
HTH,Agriculture,Male,51.47,1064.966530145
RJT,Agriculture,Male,56.25,1009.19619196031
RJT,Agriculture,Female,45.85,715.44526225776
HTH,Agriculture,Female,46.57,666.858646914402
HTH,Agriculture,Male,55.6,997.551643170327
RJT,Agriculture,Female,49,875.122049583973
HTH,Agriculture,Male,50.28,806.667373980782
HTH,Agriculture,Male,55.95,1231.24545297254
HTH,Agriculture,Female,50.59,746.599494125614
HTH,Agriculture,Male,49.41,937.031216893409
HTH,Agriculture,Male,56.05,920.156230494468
RJT,Agriculture,Male,50.3,882.357451624455
RJT,Agriculture,Female,48.21,692.696440074402
HTH,Agriculture,Female,52.26,682.756048219363
RJT,Agriculture,Female,50.77,798.121456564854
HTH,Agriculture,Male,52.14,929.468460898423
RJT,Agriculture,Female,56.16,1002.34005869293
HTH,Agriculture,Female,52.35,879.854858916606
HTH,Agriculture,Male,48.29,845.11983974219
HTH,Agriculture,Male,44.95,946.009888697369
RJT,Agriculture,Female,51.54,913.520558491556
HTH,Agriculture,Male,52.73,1053.46877227175
HTH,Agriculture,Male,54.22,922.227011292082
RJT,Agriculture,Male,52.88,1039.41658541188
RJT,Agriculture,Male,53.39,1031.41432060466
RJT,Agriculture,Male,52.21,818.583120756583
HTH,Agriculture,Male,46.75,801.025230654567
RJT,Agriculture,Male,55.68,924.882678101978
RJT,Agriculture,Female,45.53,725.997008043189
RJT,Agriculture,Male,54.67,889.464598144855
HTH,Agriculture,Male,51.9,860.545059671316
RJT,Agriculture,Female,43.76,825.140881261686
RJT,Agriculture,Male,49.19,918.455922010529
RJT,Agriculture,Female,48.1,655.641354725311
HTH,Agriculture,Female,52.17,803.926020231259
RJT,Agriculture,Male,58.49,1085.21260254087
RJT,Agriculture,Male,52.35,992.429119269016
RJT,Agriculture,Male,47.77,795.970565154574
RJT,Agriculture,Male,52.05,1013.77977564189
RJT,Agriculture,Male,57.28,949.765191475838
HTH,Agriculture,Male,46.98,637.897246718754
RJT,Agriculture,Male,53.01,830.38200028567
HTH,Agriculture,Female,52.03,736.053560286595
HTH,Agriculture,Male,51.15,963.153402728376
RJT,Agriculture,Female,54.55,870.433850867021
RJT,Agriculture,Male,50.2,935.860659470682
RJT,Agriculture,Male,48.12,737.415126542661
HTH,Agriculture,Male,50.09,955.462783912388
RJT,Agriculture,Female,46.73,820.662540933994
RJT,Agriculture,Male,55.37,849.596059494841
RJT,Agriculture,Male,50.52,813.015040477176
RJT,Agriculture,Male,49.56,891.05620752298
RJT,Agriculture,Female,52.46,842.610885309217
HTH,Agriculture,Female,53.49,954.239918971978
HTH,Agriculture,Female,45.87,703.559203532536
HTH,Agriculture,Male,52.96,890.251959803661
HTH,Agriculture,Male,51.37,997.845067924172
RJT,Agriculture,Female,48.2,760.976207506605
HTH,Agriculture,Male,51.17,752.833042268867
HTH,Agriculture,Male,50.92,839.047926540965
RJT,Agriculture,Male,54.15,973.960481456725
RJT,Agriculture,Male,55.2,924.392039869303
RJT,Agriculture,Male,50.29,856.044885274681
HTH,Agriculture,Female,53.31,896.644943774084
RJT,Agriculture,Male,52.05,876.342479790076
RJT,Agriculture,Male,55.43,1041.35644033566
HTH,Agriculture,Female,45.15,845.019465856908
HTH,Agriculture,Female,50.3,774.712350145528
RJT,Agriculture,Female,52.33,753.896942621005
RJT,Agriculture,Male,53.79,997.323877702941
RJT,Agriculture,Male,46.22,661.122648507661
HTH,Agriculture,Male,55.18,997.024091223972
RJT,Agriculture,Male,53.44,909.661661695335
RJT,Agriculture,Male,51.87,820.029902713377
HTH,Agriculture,Male,51.94,812.29098191034
HTH,Agriculture,Male,52.6,1046.42422198498
HTH,Agriculture,Male,58.22,802.317603332438
HTH,Agriculture,Male,51.96,892.496313595386
RJT,Agriculture,Male,51.9,744.275658039754
HTH,Agriculture,Female,46.76,914.524847123092
HTH,Agriculture,Female,49.09,725.171868732724
RJT,Agriculture,Male,53.45,816.193232685181
HTH,Agriculture,Male,50.34,806.001670497486
RJT,Agriculture,Female,44.37,691.37343686816
RJT,Agriculture,Male,51.14,1027.24896144508
RJT,Agriculture,Male,51.96,829.721637509885
RJT,Agriculture,Male,48.01,801.991584554812
RJT,Agriculture,Male,56.96,1061.64029038319
HTH,Agriculture,Male,38.5,665.307014302794
HTH,Agriculture,Male,49.47,879.520593458264
RJT,Agriculture,Male,50.38,878.110960834598
HTH,Agriculture,Female,48.79,918.683059159384
RJT,Agriculture,Male,51.56,867.316134317598
RJT,Agriculture,Male,55.31,864.30240448501
HTH,Agriculture,Male,53.69,937.649796486901
RJT,Agriculture,Male,50.69,964.082607295491
RJT,Agriculture,Male,52.77,838.193884578086
HTH,Agriculture,Female,49.25,801.163931970223
RJT,Agriculture,Male,54.88,879.997801382344
HTH,Agriculture,Male,55.33,1273.2007945427
HTH,Agriculture,Male,50.53,865.313133381486
RJT,Agriculture,Male,49.65,621.387234846343
HTH,Agriculture,Male,48.24,948.229345367314
HTH,Agriculture,Male,53.17,1046.74788456811
HTH,Agriculture,Female,53.44,828.385518154314
RJT,Agriculture,Female,45.87,679.424781909312
RJT,Agriculture,Male,47.8,834.41234950096
HTH,Agriculture,Male,52.1,870.990855244502
HTH,Agriculture,Female,50.91,992.37689029115
RJT,Agriculture,Female,53.7,965.565360488169
RJT,Agriculture,Male,54.58,915.136515212746
HTH,Agriculture,Female,47.69,781.66280973233
HTH,Agriculture,Male,54.7,892.160241721268
RJT,Agriculture,Male,50,728.923008900926
HTH,Agriculture,Female,46.77,709.565378907485
RJT,Agriculture,Male,56.59,1047.29546416763
RJT,Agriculture,Male,48.42,1099.49758141638
HTH,Agriculture,Female,45.2,NA
HTH,Agriculture,Male,52.19,1026.71434091525
HTH,Agriculture,Male,49.78,834.828924686826
HTH,Agriculture,Male,54.61,NA
HTH,Agriculture,Male,54.1,898.74399890558
RJT,Agriculture,Male,48.45,1018.25890136775
RJT,Agriculture,Female,52.34,796.040308511484
HTH,Agriculture,Female,47.06,775.791801381301
RJT,Agriculture,Male,47.68,812.839975226555
HTH,Agriculture,Male,53.53,945.554986081129
HTH,Agriculture,Female,49.44,NA
HTH,Agriculture,Female,49.11,836.144702229966
RJT,Agriculture,Female,45.33,767.565305398427
RJT,Agriculture,Male,51.61,845.949769981452
HTH,Agriculture,Male,49.17,931.960450731066
RJT,Agriculture,Female,45.28,721.77093760558
RJT,Agriculture,Male,51.89,922.057836527686
RJT,Agriculture,Female,49.61,880.564858856317
RJT,Agriculture,Male,55.52,903.195321536451
HTH,Agriculture,Female,47.97,834.789340619391
RJT,Agriculture,Female,49.36,770.591051822916
HTH,Agriculture,Male,NA,NA
HTH,Agriculture,Female,50.42,762.581168653507
HTH,Agriculture,Male,51.82,1020.19663571648
HTH,Agriculture,Male,49.78,724.242821245241
HTH,Agriculture,Female,45.96,685.807163004529
HTH,Agriculture,Female,49.73,857.823026716613
HTH,Agriculture,Female,48.08,NA
HTH,Agriculture,Female,47.96,782.680685752093
RJT,Agriculture,Male,52.87,1004.84068790537
RJT,Agriculture,Female,49.71,846.511957986812
RJT,Agriculture,Male,55.37,1003.0513152697
RJT,Agriculture,Female,44.07,803.466719385305
RJT,Agriculture,Female,48.69,678.809029749209
RJT,Agriculture,Female,44.58,744.476405810318
RJT,Agriculture,Male,47,816.325336656264
RJT,Agriculture,Male,51.02,823.343497564751
RJT,Agriculture,Male,51.57,912.070320782842
RJT,Agriculture,Male,50.01,1069.93786489985
RJT,Agriculture,Male,53.25,858.384586403442
RJT,Agriculture,Female,49.5,900.866223282896
HTH,Agriculture,Female,46.06,651.883145973638
HTH,Agriculture,Female,48.37,703.842810809339
RJT,Agriculture,Male,48.24,759.090466516287
RJT,Agriculture,Male,52.79,771.892456579666
RJT,Agriculture,Male,56.95,1009.34973730125
HTH,Agriculture,Female,44.75,587.790414690323
RJT,Agriculture,Male,49.39,879.326364492456
RJT,Agriculture,Male,50.03,715.204066481781
RJT,Agriculture,Male,51.24,999.673003609663
HTH,Agriculture,Female,51.04,937.122166000731
RJT,Agriculture,Female,52.04,790.349313419506
HTH,Agriculture,Female,51.81,909.944405034158
RJT,Agriculture,Female,48.31,751.491582205784
HTH,Agriculture,Female,50.37,834.5067543602
RJT,Agriculture,Female,46.51,999.180244801948
RJT,Agriculture,Female,49.12,900.786348289678
RJT,Agriculture,Male,53.99,1008.02414228107
RJT,Agriculture,Male,57.31,949.791423774495
RJT,Agriculture,Male,47.98,751.528652999097
RJT,Agriculture,Male,55.98,906.89611768238
RJT,Agriculture,Female,46.83,NA
RJT,Agriculture,Female,50.59,1113.85018307375
RJT,Agriculture,Male,52.41,944.538052539162
RJT,Agriculture,Female,51.3,864.993162169718
RJT,Agriculture,Male,54.56,993.482573825581
RJT,Agriculture,Female,50.91,859.993553080978
RJT,Agriculture,Female,50.65,851.340507355563
RJT,Agriculture,Female,47.89,800.733847935947
RJT,Agriculture,Female,50.27,913.876265319759
RJT,Agriculture,Male,50.95,961.266090941732
RJT,Agriculture,Male,55.43,946.936422910729
RJT,Agriculture,Male,47.74,863.038227601205
HTH,Agriculture,Female,49.33,881.801860963668
HTH,Agriculture,Female,47.27,845.640166025441
RJT,Agriculture,Female,47.02,791.552072166933
HTH,Agriculture,Female,50.63,719.588080490049
RJT,Agriculture,Female,48.01,896.249260179364
RJT,Agriculture,Male,55.01,1005.6772154892
RJT,Agriculture,Male,52.94,881.570168505466
RJT,Agriculture,Male,54.74,803.113290211776
RJT,Agriculture,Female,50.67,819.168399467946
RJT,Agriculture,Male,50.82,870.272215924993
RJT,Agriculture,Female,53.46,795.346173614673
RJT,Agriculture,Male,50.93,851.103395650034
RJT,Agriculture,Male,49.2,822.63027749257
RJT,Agriculture,Male,55.53,1003.13755198804
RJT,Agriculture,Male,47.87,762.439404285014
RJT,Agriculture,Male,53.02,930.156469689559
RJT,Agriculture,Female,50.25,834.607285325115
RJT,Agriculture,Female,51.19,870.791049951734
RJT,Agriculture,Female,51.35,832.510115149212
RJT,Agriculture,Male,50.32,897.692350764791
RJT,Agriculture,Female,49.14,743.628725572563
RJT,Agriculture,Male,56.22,890.875408865766
RJT,Agriculture,Male,51.46,892.566292571744
RJT,Agriculture,Male,52.1,1001.49065057921
HTH,Agriculture,Female,48.41,932.709484959498
RJT,Agriculture,Female,47.28,793.243662731258
RJT,Agriculture,Male,54.34,1045.66827625271
RJT,Agriculture,Female,53.24,878.193820340837
RJT,Agriculture,Female,43.96,754.247779980595
HTH,Agriculture,Female,51.4,752.959648452807
RJT,Agriculture,Male,49.34,642.61262021216
HTH,Agriculture,Female,51.17,927.307594931467
RJT,Agriculture,Male,50.04,896.445609720213
RJT,Agriculture,Female,46.34,723.415168660652
RJT,Agriculture,Male,54.6,846.788967919042
RJT,Agriculture,Female,44.26,634.39547046743
RJT,Agriculture,Female,49.9,942.814731889036
HTH,Agriculture,Female,48.15,835.073811834173
RJT,Agriculture,Male,54.73,787.201987359323
RJT,Agriculture,Female,51.12,602.41955504103
RJT,Agriculture,Male,54.83,933.208526952521
RJT,Agriculture,Male,52.73,847.938790830256
RJT,Agriculture,Male,51.6,920.554820062392
RJT,Agriculture,Male,51.42,892.564407616152
RJT,Agriculture,Male,47.06,672.03143629817
RJT,Agriculture,Male,51.7,836.789592661932
RJT,Agriculture,Male,53.25,890.779747369464
RJT,Agriculture,Male,59.59,1137.65363791092
RJT,Agriculture,Female,49.84,674.75095597875
RJT,Agriculture,Male,43.41,971.036758253661
HTH,Agriculture,Female,49.06,799.562976353954
RJT,Agriculture,Male,48.89,843.15477353737
HTH,Agriculture,Female,55.57,890.094016233002
RJT,Agriculture,Male,53.63,1148.58983609733
RJT,Agriculture,Female,53.09,786.671686519397
RJT,Agriculture,Male,54.13,950.43976995838
RJT,Agriculture,Male,42.84,1076.07755796258
RJT,Agriculture,Male,52.04,729.740608389023
RJT,Agriculture,Male,51.44,914.765178961092
RJT,Agriculture,Male,46.08,771.436925644895
RJT,Agriculture,Male,54.66,876.737142367183
RJT,Agriculture,Male,46.14,885.540827460338
RJT,Agriculture,Male,46.08,792.457479169697
HTH,Agriculture,Female,51.85,942.180915571174
RJT,Agriculture,Female,55.81,864.73798630643
HTH,Agriculture,Female,44.79,682.509040496974
RJT,Agriculture,Male,51.7,998.340968324541
RJT,Agriculture,Male,52.66,915.291081571303
HTH,Agriculture,Female,49.74,888.810754173827
RJT,Agriculture,Male,47.66,896.802573185478
HTH,Agriculture,Female,49.25,808.373808570396
RJT,Agriculture,Male,55.32,966.435110414316
