Subsistence,Collection,Sex,BicondylarBreadth,Index_FM
Agriculture,HTH,Female,47.27,845.640166025441
Agriculture,RJT,Female,47.02,791.552072166933
Agriculture,HTH,Female,50.63,719.588080490049
Agriculture,RJT,Female,48.01,896.249260179364
Agriculture,RJT,Male,55.01,1005.6772154892
Agriculture,RJT,Male,52.94,881.570168505466
Agriculture,RJT,Male,54.74,803.113290211776
Agriculture,RJT,Female,50.67,819.168399467946
Agriculture,RJT,Male,50.82,870.272215924993
Agriculture,RJT,Female,53.46,795.346173614673
Agriculture,RJT,Male,50.93,851.103395650034
Agriculture,RJT,Male,49.2,822.63027749257
Agriculture,RJT,Male,55.53,1003.13755198804
Agriculture,RJT,Male,47.87,762.439404285014
Agriculture,RJT,Male,53.02,930.156469689559
Agriculture,RJT,Female,50.25,834.607285325115
Agriculture,RJT,Female,51.19,870.791049951734
Agriculture,RJT,Female,51.35,832.510115149212
Agriculture,RJT,Male,50.32,897.692350764791
Agriculture,RJT,Female,49.14,743.628725572563
Agriculture,RJT,Male,56.22,890.875408865766
Agriculture,RJT,Male,51.46,892.566292571744
Agriculture,RJT,Male,52.1,1001.49065057921
Agriculture,HTH,Female,48.41,932.709484959498
Agriculture,RJT,Female,47.28,793.243662731258
Agriculture,RJT,Male,54.34,1045.66827625271
Agriculture,RJT,Female,53.24,878.193820340837
Agriculture,RJT,Female,43.96,754.247779980595
Agriculture,HTH,Female,51.4,752.959648452807
Agriculture,RJT,Male,49.34,642.61262021216
Agriculture,HTH,Female,51.17,927.307594931467
Agriculture,RJT,Male,50.04,896.445609720213
Agriculture,RJT,Female,46.34,723.415168660652
Agriculture,RJT,Male,54.6,846.788967919042
Agriculture,RJT,Female,44.26,634.39547046743
Agriculture,RJT,Female,49.9,942.814731889036
Agriculture,HTH,Female,48.15,835.073811834173
Agriculture,RJT,Male,54.73,787.201987359323
Agriculture,RJT,Female,51.12,602.41955504103
Agriculture,RJT,Male,54.83,933.208526952521
Agriculture,RJT,Male,52.73,847.938790830256
Agriculture,RJT,Male,51.6,920.554820062392
Agriculture,RJT,Male,51.42,892.564407616152
Agriculture,RJT,Male,47.06,672.03143629817
Agriculture,RJT,Male,51.7,836.789592661932
Agriculture,RJT,Male,53.25,890.779747369464
Agriculture,RJT,Male,59.59,1137.65363791092
Agriculture,RJT,Female,49.84,674.75095597875
Agriculture,RJT,Male,43.41,971.036758253661
Agriculture,HTH,Female,49.06,799.562976353954
Agriculture,RJT,Male,48.89,843.15477353737
Agriculture,HTH,Female,55.57,890.094016233002
Agriculture,RJT,Male,53.63,1148.58983609733
