Group,Site,SiteNo,Obs,Feature,Burial,Sex,MLC,MWC,MND,BCB,MXID,LFM,WFM,LBP
Arikara,Larson,39WW2,98,201,114B,F,23.90,14.55,20.60,46.00,43.75,35.15,30.85,26.85
Arikara,Larson,39WW2,99,201,117,F,23.20,14.05,19.30,49.85,42.85,34.90,29.75,21.00
Arikara,Larson,39WW2,100,201,120B,F,23.35,12.00,20.20,50.85,44.95,36.30,29.60,24.40
Arikara,Larson,39WW2,101,201,124B,M,27.05,14.10,21.20,53.60,49.85,37.50,30.10,26.50
Arikara,Larson,39WW2,102,201,124C,F,23.80,12.25,15.00,45.20,41.20,31.15,24.15,23.20
Arikara,Larson,39WW2,103,201,124F,F,29.55,12.95,19.65,52.00,46.95,36.80,31.45,27.10
Arikara,Larson,39WW2,104,201,124G,M,25.85,17.80,16.90,56.95,52.10,33.30,33.30,28.25
Arikara,Larson,39WW2,105,201,127B,M,23.45,17.05,22.05,57.45,47.55,38.95,31.80,23.90
Arikara,Larson,39WW2,106,201,129A,M,27.30,16.40,22.50,56.55,48.95,39.85,32.30,27.60
Arikara,Larson,39WW2,107,201,129B,F,27.65,15.60,17.05,49.30,40.60,33.20,23.05,26.10
Arikara,Larson,39WW2,108,201,130B,M,30.40,16.15,20.90,56.10,47.65,37.40,31.85,23.25
Arikara,Larson,39WW2,109,201,130C,F,27.15,16.45,19.55,55.55,46.55,38.60,31.55,27.35
Arikara,Larson,39WW2,110,201,8A,M,26.35,17.40,24.70,55.10,46.05,36.80,29.95,22.60
Arikara,Larson,39WW2,111,201,551,M,22.45,18.42,17.80,54.55,48.50,34.35,30.75,27.15
Arikara,Larson,39WW2,112,201,4C,M,21.60,16.35,21.00,53.10,47.50,32.25,26.90,14.65
Arikara,Larson,39WW2,113,201,8D,M,24.50,15.30,23.05,53.80,44.75,35.75,28.20,28.85
Arikara,Larson,39WW2,114,101,10D,F,21.75,16.55,20.25,51.90,46.15,36.50,30.40,21.65
Arikara,Larson,39WW2,115,101,32B,F,25.10,16.50,17.30,54.00,47.85,35.20,30.85,23.35
Arikara,Larson,39WW2,116,201,3A,F,24.10,14.20,17.85,48.75,41.65,32.50,26.00,23.50
Arikara,Larson,39WW2,117,201,3E,M,23.80,15.90,24.75,54.90,51.30,35.90,30.10,24.15
