IID,Subsistence,Collection,Sex,ForamenMagnumS,ForamenMagnumT,BicondylarBreadth,DepthEOP,LambdaInion,GeneralForm,NuchalCrest,NuchalLine
L4,Agriculture,FSUTC,Male,31.0766666666667,28.2033333333333,48.6566666666667,6.97,56.0433333333333,2,1,4
L43,Agriculture,FSUTC,Female,33.03,26.5433333333333,42.6966666666667,6.48333333333333,47.2266666666667,2,1,4
L44,Agriculture,FSUTC,Female,34.2133333333333,27.0566666666667,49.2366666666667,4.71666666666667,58.73,1,0,3
L6,Agriculture,FSUTC,Male,31.9166666666667,27.0033333333333,48.3216666666667,7.32,71.8233333333333,2,1,4
L7,Agriculture,FSUTC,Female,33.8633333333333,30.2833333333333,46.07,4.51333333333333,69.4833333333333,1,0,4
L8,Agriculture,FSUTC,Male,36.4066666666667,31.34,48.5233333333333,8.46666666666667,60.5333333333333,3,1,5
L9,Agriculture,FSUTC,Female,33.9833333333333,27.57,45.8966666666667,4.85333333333333,64.7466666666667,1,0,3
126,Hunter_Gatherer,Hutchinson,Female,32.15,27.4533333333333,46.2266666666667,5.53666666666667,63.5633333333333,2,0,4
A,Hunter_Gatherer,Hutchinson,Male,35.7666666666667,28.7733333333333,50.49,8.70666666666667,70.9133333333333,4,1,4
B,Hunter_Gatherer,Hutchinson,Female,,,,4.56666666666667,60.3433333333333,1,0,3
C,Hunter_Gatherer,Hutchinson,Female,31.5066666666667,28.0533333333333,49.0866666666667,5.78,78.2766666666667,2,1,3
E,Hunter_Gatherer,Hutchinson,Female,,,,4.89666666666667,60.8966666666667,2,1,3
G,Hunter_Gatherer,Hutchinson,Male,,,,9.15333333333333,68.8266666666667,4,1,4
H,Hunter_Gatherer,Hutchinson,Male,,,,7.59,77.43,4,1,4
I,Hunter_Gatherer,Hutchinson,Male,36.5766666666667,29.49,,7.6,64.4233333333333,3,1,4
K,Hunter_Gatherer,Hutchinson,Female,,,,5.52,64.8266666666667,2,0,3
L,Hunter_Gatherer,Hutchinson,Female,,,,4.3,79.4033333333333,1,0,3
M,Hunter_Gatherer,Hutchinson,Male,,,,6.64333333333333,69.3,3,1,4
N,Hunter_Gatherer,Hutchinson,Female,,,,5.78,63.0733333333333,2,1,3
O,Hunter_Gatherer,Hutchinson,Female,,,,4.65333333333333,66.6066666666667,2,1,2
P,Hunter_Gatherer,Hutchinson,Male,,,,8.61333333333333,81.0033333333333,3,1,4
Q,Hunter_Gatherer,Hutchinson,Male,31.31,28.03,50.9166666666667,8.96,61.9366666666667,4,1,5
S,Hunter_Gatherer,Hutchinson,Male,,,,8,70.93,4,1,4
